dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"1,100 sqft",3,2,Apartment,Dhaka,Bashundhara R-A,Block J,Find 1100 SQ FT flat available for rent in Bashundhara R/A near to Mosque Madrasa,/en/property/details-1731694.html,22000.0
"1,750 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block C,For Rental Purpose 1750 Sq Ft Flat Is Now Up For Rent In Bashundhara R/a Close To North South University,/en/property/details-1731538.html,25000.0
"1,640 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block G,Planning to move in this 1640 SQ FT flat which is for rent in Bashundhara R/A near to Navy Anchorage,/en/property/details-1732712.html,24000.0
"1,800 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block G,Offering you a very attractive flat of 1800 SQ FT for rent in Bashundhara R/A near to Baitul Mamur Jam-E Mosque,/en/property/details-1732715.html,24000.0
"1,450 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block H,A well spacious flat of 1450 SQ FT is offered for rent located at Bashundhara R/A near IUB University,/en/property/details-1732662.html,20000.0
"1,450 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block I,"A noteworthy Flat up for rent in Bashundhara R/A Block I area, near Australian International School, of 1450 SQ FT is available and open for new tenants to move in",/en/property/details-1732221.html,24000.0
"1,500 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,"Create Your Home In A 1500 Sq Ft Flat For Rent In Bashundhara R/a Block D, Near North South University",/en/property/details-1731904.html,22000.0
"1,800 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block B,"A Well Defined Residential Flat Of 1800 Sq Ft Is Available For Rent In Bashundhara R/a, Near North South University",/en/property/details-1731339.html,35000.0
"1,250 sqft",3,2,Apartment,Dhaka,Bashundhara R-A,Block F,"Make this 1250 SQ FT flat for rent, your residing location, in Bashundhara R/A near Gulnaksha, International Convention City Bashundhara",/en/property/details-1730141.html,22000.0
"1,650 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block G,Offering you a very spacious 1650 SQ FT flat for rent in Bashundhara R/A near to Aliur Rahman's Palace,/en/property/details-1729916.html,30000.0
"1,600 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,Reasonable 1600 SQ FT flat is available for rent in Bashundhara R/A near to Kapotakkho Rongdhonu,/en/property/details-1729287.html,30000.0
"2,350 sqft",4,3,Apartment,Dhaka,Bashundhara R-A,Block D,Planning to move in this 2350 SQ FT flat which is for rent in Bashundhara R/A near to Kagojer Ishkool,/en/property/details-1729298.html,40000.0
"1,500 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block F,For Rental Purpose 1500 Sq Ft Flat Is Now Up For Rent In Bashundhara R/a Close To Mosque Madrasa,/en/property/details-1730412.html,25000.0
"2,300 sqft",4,5,Apartment,Dhaka,Bashundhara R-A,Block A,"A Nice Residential Flat Of 2300 Sq Ft, For Rent, Can Be Found In Bashundhara R/a, Near Hurdco International School",/en/property/details-1727759.html,35000.0
"1,887 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block A,For rental purpose 1887 SQ FT flat is now up for rent in Bashundhara R/A close to Mezbaan Bari,/en/property/details-1727896.html,35000.0
"1,600 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block C,A very nice 1600 SQ FT flat is now available for rent near by Jamuna Amusement Park in Bashundhara R/A,/en/property/details-1726179.html,30000.0
"1,600 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block B,"Make this 1600 SQ FT flat for rent, your residing location, in Bashundhara R/A near CMH Hospital",/en/property/details-1722619.html,27000.0
"2,300 sqft",4,5,Apartment,Dhaka,Bashundhara R-A,Block A,2300 SQ FT fine flat is now for rent which is in Bashundhara R/A near to NSU,/en/property/details-1722512.html,35000.0
"1,665 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block A,"Comfortable and well designed apartment of 1665 SQ FT in Bashundhara R/A for rent, near Australian International School",/en/property/details-1721755.html,30000.0
750 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Block G,"A Fine Commercial Space Of 750 Sq Ft For Rent Is Available In Bashundhara R/a, Near Rupayan Shopping Complex",/en/property/details-1721176.html,17000.0
"1,500 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block F,Sophisticated 1500 SQ FT flat is available for rent in Bashundhara R/A close to Silicon Tower,/en/property/details-1720898.html,25000.0
"1,600 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block D,"1600 Sq Ft Flat For Rent In Bashundhara R/a, Near Kurmitola High School And College",/en/property/details-1720054.html,30000.0
