dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"1,360 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,"This Beautiful And Well-kept 3 Bedroom Flat For Rent, Situated On Shah Ali Bag",/en/property/details-5212541.html,20000.0
"1,360 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,Perfectly Planned 3 Bedroom Flat Is Up For Rent In Shah Ali Bag,/en/property/details-5212542.html,20000.0
"1,360 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,Modern Designed Apartment 0f 1360 Sq Ft Is Up For Rent In Shah Ali Bag,/en/property/details-5212543.html,20000.0
"1,360 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,1360 SQ FT flat is now available to Rent in Mirpur,/en/property/details-5212551.html,20000.0
"1,360 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,1360 SQ FT flat is now available to Rent in Mirpur 1,/en/property/details-5212560.html,22000.0
"1,360 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,"Bright And Cozy Apartment Featuring 1360 Sq Ft Space Is Up For Rent In Mirpur, Shah Ali Bag.",/en/property/details-5212553.html,20000.0
"1,360 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,"A 1360 Sq Ft Flat With All Living Amenities Is Available For Rent In Mirpur, Shah Ali Bag.",/en/property/details-5212550.html,22000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 6,"Smartly priced 650 SQ FT flat, that you should check in Mirpur 6",/en/property/details-5333007.html,11000.0
"1,360 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,A Nice Flat Comes With 1360 Sq Ft Space For Rent In The Location Of Shah Ali Bag,/en/property/details-5212576.html,20000.0
800 sqft,2,2,Apartment,Dhaka,Mirpur,2nd Colony,"Smartly priced 800 SQ FT apartment, that you should check in Mirpur",/en/property/details-4280664.html,13000.0
"1,250 sqft",3,3,Apartment,Dhaka,Mirpur,Section 11,Check this 1250 sq. ft flat for rent which is in Mirpur 11,/en/property/details-3715943.html,24000.0
600 sqft,2,1,Apartment,Dhaka,Mirpur,Section 11,"Now you can afford to dwell well, check this 600 SQ FT flat in Mirpur 11",/en/property/details-3637051.html,9000.0
"1,360 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,"At Shah Ali Bag, A 1360 Sq Ft Flat Is Up For Rent",/en/property/details-5212574.html,22000.0
"1,360 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,"To Reside In A Beautiful Apartment, Visit This 1360 Sq Ft Rental Property In Mirpur 1.",/en/property/details-5212597.html,22000.0
"1,360 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,"Looking for a beautiful flat to rent in Mirpur, check this one which is 1360 SQ FT",/en/property/details-5212501.html,22000.0
500 sqft,2,1,Apartment,Dhaka,Mirpur,Middle Paikpara,View This 500 Sq Ft Flat For Rent In Middle Paikpara,/en/property/details-5332212.html,7000.0
950 sqft,2,2,Apartment,Dhaka,Mirpur,Pirerbag,"View This 950 Sq Ft Flat Ready To Rent In Mirpur, Pirerbag",/en/property/details-5333293.html,14000.0
"1,475 sqft",3,3,Apartment,Dhaka,Mirpur,Darussalam,"A 1475 Sq Ft Well Fitted Residential Property Is On Rent In Darussalam, Mirpur",/en/property/details-4492317.html,16000.0
"2,200 sqft",4,4,Apartment,Dhaka,Mirpur,Mirpur DOHS,A 2200 Sq Ft Well Fitted Residential Property Is On Rent In Mirpur DOHS,/en/property/details-4496658.html,34000.0
"1,100 sqft",3,2,Apartment,Dhaka,Mirpur,Pirerbag,"In West Pirerbag, A Nice 3 Bedroom Flat Is Now Vacant For Rent",/en/property/details-4548169.html,13000.0
"1,360 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,In Shah Ali Bag this apartment is up for rent which is 1360 SQ FT,/en/property/details-5212549.html,22000.0
"1,360 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,"Built with modern amenities, check this flat for rent which is 1360 SQ FT in Shah Ali Bag",/en/property/details-5212584.html,22000.0
"1,800 sqft",3,3,Apartment,Dhaka,Mirpur,Pallabi,Comfortable 1800 Sq Ft Flat Is Up For Rent In Arambag R/a,/en/property/details-4088303.html,22000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 11,Check this 650 sq. ft flat for rent which is in Mirpur 11,/en/property/details-5333165.html,12000.0
"1,300 sqft",3,3,Apartment,Dhaka,Mirpur,Pallabi,Express Your Individuality At This 1300 Sq. ft Apartment Which Is Vacant For Rent In The Location Of Arambag Residential Area.,/en/property/details-3451889.html,17000.0
950 sqft,3,2,Apartment,Dhaka,Mirpur,East Monipur,A Beautiful 950 Sq Ft Apartment Is Now Vacant For Rent At East Monipur,/en/property/details-4056261.html,16000.0
"2,260 sqft",3,4,Apartment,Dhaka,Mirpur,Mirpur DOHS,"Now you can afford to dwell well, check this 2260 SQ FT flat in Mirpur DOHS",/en/property/details-5334552.html,36000.0
800 sqft,2,2,Apartment,Dhaka,Mirpur,Pallabi,See This Comfortable 2 Bedroom Flat Is Available For Rent In Arambag Residential Area . And This Is Just What You Are Looking For In A Home!,/en/property/details-3451967.html,12000.0
